SRIASupplierID,Name,VPManager,Crunchbase,Ticker,CompanyID,CreatedAt,UpdatedAt,State,Industry,EmployeeCount
1306,"MortgageKeeper Referral Services Inc., dba Spring Four",NULL,springfour-inc,NULL,1306,"2020-10-01 19:04:16","2022-01-10 19:11:30",,NULL,NULL
1313,"Greenhouse Culture, LLC",NULL,NULL,NULL,1313,"2020-10-01 19:04:16","2022-01-10 19:11:33","VA  ",NULL,NULL
1316,"Gilded Bee Ltd - UK",NULL,NULL,NULL,1316,"2020-10-01 19:04:17","2022-01-10 19:11:34",,NULL,NULL
1328,"PEI Media Group Ltd",NULL,NULL,NULL,1328,"2020-10-01 19:04:21","2022-01-10 19:11:39","NY  ",NULL,NULL
1335,"Pillars of Wall Street",NULL,pillars-of-wall-street,NULL,1335,"2020-10-01 19:04:26","2022-01-10 19:11:42","NY  ",NULL,NULL
1342,"CDN-Sensei Media Inc.",NULL,NULL,NULL,1342,"2020-10-01 19:04:32","2022-01-10 19:11:44","QC  ",NULL,NULL
1347,"Resolver Inc.",NULL,business-propulsion-systems,NULL,1347,"2020-10-01 19:04:34","2022-01-10 19:11:47","ON  ",NULL,NULL
1348,"PowerVision EAP, Inc.",NULL,NULL,NULL,1348,"2020-10-01 19:04:35","2022-01-10 19:11:47",,NULL,NULL
1361,"AllTran Financial FP (f.k.a. J.C. Christianson and Associates Inc.)",NULL,united-recovery-systems,NULL,1361,"2020-10-01 19:04:43","2022-01-10 19:11:52","TX  ",NULL,NULL
1363,"Gemini Advisory LLC",NULL,gemini-advisory,NULL,1363,"2020-10-01 19:04:44","2022-01-10 19:11:53",,NULL,NULL
1367,"Locator Technologies LLC",NULL,NULL,NULL,1367,"2020-10-01 19:04:46","2022-01-10 19:11:54",,NULL,NULL
1377,"Bell and Williams",NULL,bell-williams-associates,NULL,1377,"2020-10-01 19:04:49","2022-01-10 19:11:57","NH  ",NULL,NULL
1384,"Venture Solutions",NULL,NULL,NULL,1384,"2020-10-01 19:04:58","2022-01-10 19:12:00",MN,NULL,NULL
1386,"Lotsolutions Inc.",NULL,NULL,NULL,1386,"2020-10-01 19:05:00","2022-01-10 19:12:02",,NULL,NULL
1388,"MGIC Investment Service Corporation",NULL,NULL,NULL,1388,"2020-10-01 19:05:03","2022-01-10 19:12:03","WI  ",NULL,NULL
1391,"Estate Information Services (COAF)",NULL,reisonline,NULL,1391,"2020-10-01 19:05:04","2022-01-10 19:12:04","SC  ",NULL,NULL
1394,"E-Oscar Olde (Online Data Exchange)",NULL,NULL,NULL,1394,"2020-10-01 19:05:06","2022-01-10 19:12:05","MI  ",NULL,NULL
1403,"SWBC LENDING SOLUTIONS FKA QVS",NULL,NULL,NULL,1403,"2020-10-01 19:05:12","2022-01-10 19:12:09","TX  ",NULL,NULL
1412,Graebel,NULL,NULL,NULL,1412,"2020-10-01 19:05:18","2022-01-10 19:12:13","CO  ",NULL,NULL
1429,"Trinity Real Estate",NULL,trinity-real-estate-solutions,NULL,1429,"2020-10-01 19:05:34","2022-01-10 19:12:20","NC  ",NULL,NULL
1431,"Triad Guaranty Insurance Corporation (CCB)",NULL,NULL,NULL,1431,"2020-10-01 19:05:36","2022-01-10 19:12:20","NC  ",NULL,NULL
1433,"Auto Auction of Billings",NULL,NULL,NULL,1433,"2020-10-01 19:05:36","2022-01-10 19:12:21",MT,NULL,NULL
1447,"IR Services",NULL,NULL,NULL,1447,"2020-10-01 19:05:43","2022-01-10 19:12:27","TX  ",NULL,NULL
1456,"Public Affairs Support Services LLC",NULL,NULL,NULL,1456,"2020-10-01 19:05:50","2022-01-10 19:12:30","VA  ",NULL,NULL
